,userName,content,score
159,Jani Canra,byisa nambah wawasan and hot hotyess,3
160,muh fahkri al khair,aku sangat suka aplikasi ini,5
161,Ati.maryati Arya,semoga lebih baik dan selalu bgus,5
162,octavio costa nunes,apk sangat indah,5
163,Fitriani Ekawati,kok g ada fitur posting ulang sama tiktok shop,3
164,KING FOX,tolonglah tambahin fitur upload hd di tiktokjgn cuma di amerika atau di iphone itupun di phone nlbelum tentu please saya konten kreator sangat membutuhkankarna saya capek editing tapi tidak hd,2
165,kardi Madinah,tik tok tidak netral,1
166,Alc Dyna,cba pihak mu profesional dikitjgn main bend akun org seenk mu aj mentang akun tersebut tdk menguntungkan pihakmu,1
167,As As,efek tidak bisa d gunakan,1
168,Nizam Alfaruq,sekarang udah bisa komen foto,5
169,Ekho Chaky,susah banget mau top up coin nya lainkali tolong donk d permudahh untuk proses top up nya biar kami pun betah pake aplikasinya,1
170,Paya Ray,bagus sih tapi kalo mau coba filter terbaru harus update dan itu membutuhkan waktu,5
171,Ma Ti,tidak bisa di downloadpadahal pakai wifi ruang penyimpanan masih byk ruang,1
172,Pengguna Google,asalammualaikum nama saya syaila fairuzasaya suka banget dengan aplikasi ini aplikasi ini menghibur saya saat lagi sendirian dan banyak video yang bisa di palajari semoga aplikasi ini menjadi aplikasi yang paling kita suka sedunia ya temanteman,5
173,Isabela 031,bermanfaat jika di gunakan untuk hal yg baik apalagi untuk menyebarkan dakwah tausiah dan hal hal yang memberikan energi positif kepada seluruh pengguna tik tok terutama kepada ummat muslim sedunia thanks,5
174,Eg Ry,sayang sekali ko lagu2 nya gk pada muncul,3
175,Deirzkma Deirzkma,saya sangat suka aplikasi ini tapi kenapa masih ada video yg seharus nya tidak boleh di tayang kan soal nya kan di aplikasi ini masih ada anak kecil yg masih nonton aplikasi ini nanti bisa bisa jadi conto yg buruk,1
176,Safitri Utina,aplikasi ini sangat bagus jika digunakan dengan baik tiktok akan jadi aplikasi terbaik untuk saling berkomunikasi dan berkarya sesuai minat dan bakat masing2 pengguna tiktok,5
177,agus saha,belakang ini aplikasinya suka ngelekjadi saya kasih bintang 2 dulu samapai aplikasinya berjalan normal seperti di belakanagn ini,2
178,Choi Chinta,gatau kenapa kalo nonton live atau mau live suka lelet padahal kuota masih bnyk,1
179,Kokom Komariah,menghibur banget untuk sya selama bekerja diluar,5
180,Gaspar do Rego,sangat lama untuk bisa menginstal nya jadi saya tidak suka dengan aplikasi ini,2
181,Sudjud Karyo bekti,tiktok semakin lama semakin susah untuk di oprasikan,1
182,Alhamdulillah Hirobbilalamin,ngleg fulllllll 24 jam gimna nih tiktok makin kedepan makin kurang bagus,1
183,Alfiah Ssandi,untuk live streaming sinyal nya putus putus,2
184,Dini Mekkah,ngk bisa bukak live selalu ngeleg padahal kuota banyak,1
185,Nazario Siqueira,,5
186,Santomi Sakiroh,kenapa harihari ini di live engga bisa kirim korun atau gody bag ya awalnya aman dn normal sekarang ko susah tolong dong berbaiki lgi biar normal seperti biasa,5
187,Vio Elma,sangat menghibur tapi sayang aku pemula belom bisa live kaya orang2 di tiktok,5
188,Andri YN,kurang koneksi smoga ditingkatkan lagi,3
189,Izam Rycko,cocok buat foto komen tapi ada yang ngemis like follower share jangan bawa nama agama,5
190,Sofyan Chomier,banyak konten yang menghancurkan moral generasi muda yang tidak pantas ditayangkan,1
191,Fatku Sari,admin tolong gimana ya supaya bisa download aplikasinya tik tok dan smua y tdk bisa alasan ya jaringanmenunggu jrngan wifi dll makasih,5
192,Pengguna Google,seru siihh jdi bisa kreatif bikin koreo2 baru dan bisa kasih challenge ke temen2 makasih sdh d berikan tempat untuk explore add yaa hyangrestus,5
193,Muy Haya,aga kecewa aja si filter facelift hilang soalnya itu filter tidak banyak merubah bentuk asli tapi natural bgt hasil akhirnyakalo yg laen kan pada menor terus hidung mancung kebangetan ga cocok,4
194,Iky,untuk pihak tiktok kenapa di saya tidak bisa menarik saldo atau koin pdhl sudah mencukupi untuk melakukan penarikan setiap ingin melakukan penarikan pasti ada tulisan jumlah pernarikan telah melebihi frekuensi jadi tolonglah untuk pihak tiktok segera di perbaiki saya sudah susah susah untuk mengumpulkan koin atau saldo percuma jdinya klw tidak bisa di tarik,3
195,Lyla Fraga,apk ini tidak bisa digunakan dan tolong isi ulang koin nya dan keranjan kuning nya juga gak ada ditambah lagi peti juga gak ada pokoknya diperbaiki dulu deh baru ditambah bintangnya,2
196,Pengguna Google,tik tok ini bagus makasih ya pokoknya kalo yang gak dowload bakalan nyesel bangettt yang belum dowload nanti dowload aplikasi tik tok yah,5
197,Link Trosobo,seperti apk yg lain klo user sdh rame pasti server sering down aplikasi force close sejauh ini saya msh suka apk keluaran dr facebook dan saudara2nya,1
198,Ismail,agak sedikit terbatas untuk pengguna android salah satu fitur yang hilang adalah tidak adanya mic pada fitur duetnya,3
199,Pengguna Google,pertama kalinya aku bingung kenapa ada dua tik tok yang satu 55mb yang satunya 52mb nah aku donwload duaduanya dan aku bandingin padahal tik tok yang versi 52mb ini seperti mempunyai garansi itu lohseperti kalau kita beli hp lewat online pasti punya garansi nah tik tok ini mempunyai garansi musically dan itu sangant bagus good joob,5
200,Cinta amk,aku bingung knp klu komen di kubu 01 dan 03 sllu di hapus sdng kan klu kubu 01 dan 03 wlupun komentar nya gk beradab gk kena pelanggaran smg adminnya sllu profisional,1
201,Ochy JL,ga seru soalnya gabisa namatin kayak di gamegame sebelah ga ada history dan gabisa jalanjalan kayak gta cuma video yg ga jelas di perbaiki lagi yah,1
202,Frances Cade SOUSA,aplikasinya bagus bangetkarna kita bole mengedit video trus ada video yang bagus bagnet,5
203,Lukman Panca,saya selama ini bayak yg ter ganggu kenyamanan dan masalah dipakai mati jadi aku gaya an dengan pemalsuan nya,5
204,Samuel Francisco Guterres,akun saya tidak bisa live dan sekarang mau bikin vidio juga tidak bagus masa bikin vidio baru mulai musiknya sudah habis padahal baru 5 detik musiknya sudah habistolong di pertimbangkan lagi ya terima kasih,1
205,Grace Sinaga,kenapa yaa akuu mau daftar akun terus waktu masukkin tanggal bulan tahun lahir muncul tulisan maaf sepertinya anda tidak memenuhi syarat untuk tiktok tetapi terimakasih sudah tertarik cara nya gimana yaa,5
206,Conceicao Gates,maaf gw kasi 4bintang aja karena lemot trus padahal jaringannya bagus bangat mohon selesaikan kendalannya,4
207,Susilo Utomo,app yang sangat bagus dan sangat membantu,5
208,Emis Putri,kenapa sya tidak bisa download check out tiktok shop nya selalu muncul percobaan terlalu banyak kenapa yah tolong dong diperbaiki yahh nanti kalau udah bisa aku kasik bintang 5,1
209,Calysta Sitepu,kenapa ni aplikasi suka terhapus sendiri ya lalu kalo mau di download katanya maaf tidak dapat menginstal itu knp y,3
210,Gadith Sembarang,saya suka banget sama tiktok tapi tolong lah ditambahin filter yg bisa bikin hd sama di tambah keranjang kuning nya soalnya saya suka berbelanja,4
211,syafiuddin Abbas,seing gk bisa di buka,5
212,Pengguna Google,kembalikan versi yang lama saya gk suka versi yang baru kenapa harus jadi tiktoktolong balikin musically yang dulu,1
213,Orang Sunda,tiktok nya jelek tolong perbaiki aku baru menginstal tapi pas ada tanda buka aku pencet ga bisa tolong di perbaiki ya,2
214,gsky gelin,aplikasi sampahsuruh masukkin tanggal lahir salahkan betulmalah salahaplikasi gak guna mending dihapus aja dari playstore semoga app ini dihapus dari playstore amin,2
215,RP Gaming,kenapa kalo kita membuka komentar itu pin komentar nya kok gaada malahan pin nya random bukan dikasih paling atas tolong perbaiki lagi supaya saya bisa nyaman mainin tiktok nya,4
216,Hermenegildo Da costa Gusmao,aplikasinya bagus menhibur kita tapi mau updatenya yang susah sekali coba harap kan ulang ber ulang gituh gini gini nia gue gak mau update tapi efek di dalamnya yang bagus semua gak dia coba pasti menyesal tapi update yang lama dah selalu harap coba lagi,3
217,Gabriella Rempas_,aplikasi ini sangat berguna sekalitapi baru download dan buka 5 menit chace sudah 500mb ntah kenapa tolong perbaiki,5
218,Een Solihat,mohon di tingkat kan lagi soalnya epek buat jadi komal sekarang ad yg bisa di gunakan dan ad yg tidak bisa gak seperti dulu,5
219,Alfredo Beto,mudahmudahan tiktok bisa membantu saya,5
220,Sri Wahyuni,hey jangan ada iklan di tik tok saya jadi ya kuota saya habis garagara iklan dan ada iklan yang gak berguna untuk saya bersikap lah seperti biasa jangan ada iklan kalau becus bikin apk itu,1
221,Ayang Mungil,menyenangkan serasa punya teman dan menghibur,3
222,Tania Martins,udah update filter tiktokeh besok mau buat harus update lagi tolong la memperbaiki filter nya ko setiap membuat harus update lagi sih,1
223,KADEK ARDIASA,min kenapa ya saya setiap bukak tik tok pasti itu mulu video nya knapa ya min padahal jaringan bagus hp bagus tempat bagus dan kenapa itu min,4
224,Neng wati Wati,saya gk kn ngsih bintang krna saya udah kecewa bnget sama aplikasi iniyg gampang bnget mmblokir selmanya ok pra pengguna tiktok yg sdah melanggr standr komunitas tnpa di sadari tp gk ada kh kebijakan sedikit aja buat kmi pra pengguna tiktok klw melanggr jgn langsung di blokir slamanya krna aku juga buat ngumpulin folower itu butuh waktu pnjang dan buat konten hl yg bagus dan menarik hrus latihan berulang begitu juga dlm brmain tiktok gk gratis pke kuota sekli melanggr jgn lngsung blok,1
225,OnlyJzz,kenapa sih tik tok udah error njir setiap gw nge login ke akun gw trus ada tulisan frekuasi kunjungan terlalu sering padahal udah di tungguin 5 jam lebih tapi masih muncul tulisannya,1
226,elhatman 143,kenapa aplikasi tiktok tdk bisa di buka dihpku susah banget tolong kenapa ni semoga cepat diperbaiki tetima kasih padahal biasanya sy suka ngasih 5 bintang nanti klu sudh bagus sy kasih bintang 5,1
227,Rotua Lusianti Panggabean,kecewa aku kenapa akun titkok ku gabisaaa dibukak padahal itu akun ku uda lama dan follower nya uda banyak kian dan biasanya login nya dari fb eh dimasukkan dengan fb yg smaa tapi akun nya beda video dan follower nya pun tidak ada lagi,1
228,Pengguna Google,saya kecewa bangettkenapa setelah diperbarui musically menjadi berubah dicampur tik toktolong dikembalikan seperti dulu saya gk suka dicampur2,1
229,Marta Setiawan,sangat berartitrms,5
230,VLOG ED_YHANG_C93,saya sedikit kecewa dan kurangi bintangkarna pada saat saya live selalu berhenti tiba tiba tampa sebabpadahal jaringan saya lancar sekali,3
231,Ginal Celisa90,tolong pihak tiktok perbaiki aplikasi agar lebih baik karena mau simpan video tak bisa,3
232,Ncess Nabati,bagai mana saya bisa kasih bintang full download beribu kali pun susah padhl wifi penuh aplikasi banyak yang saya buang demi mendownload tiktok tapi masih tetap gak bisa gimna sih aplikasi sngt mengesal kn,1
233,Pengguna Google,saat mau menggunakan lagu susah sekali terdownload lamaa di tingkatkan lagi,1
234,Tira misu,terima kasih tiktokdgn ada nya tiktok jd bnyk informasi temandn menghibur bngtdgn musik nya yg mantul sx lg terima kasih banyak sehat sukses selalu,5
235,Samini Samini,hello slm saya mencihello asalamualaikumtiktok saya berhinti tolok bukak saya minta bantu anyantai tiktok,5
236,Rika Dedek,aku senang bermain tiktok ini lah hiburan yg tidak membosankan selalu ada persi terbaru untuk filternya trgs nambah pengalaman juga,5
237,Duniaserba Serbinews,menyebalkan main hapus postingan tampa melihat apa betul ada pelanggaran disitu klo kaya gitu terus carakerjanya mending uninstalle ja,1
238,Abdul Robin,tiktok aplikasi yang cman ngabisin kuota imbalan nonton vidio receh jd skrang tiktok aplikasi gk guna lama lama gk ada orang yg bagian nonton vidio,1
239,Suhartini Santa,bagus tp gimana cara nya jika tiktok an menghasilkan uwang,3
240,AYDHA HIDAYATI,tiktokan membuat diriku tetap happy menghibur diri meskipun kerja berat menjadi ringanthanks for your tiktok the best aplikasi,5
241,Pengguna Google,stiap saya bikin vidio kenapa tidak ada yg likecoment punapa hanya kusus hp iphone aj yg terlihattrus android tidak terlihat di id tiktok,3
242,Afifah Indratya,aplikasi yg bermanfaat terus pertahankan dan sering2 kasih voucher free ongkir utk tiktok shop biar makin laris dagangan saya,5
243,Nur Khozin,sekedar buat hiburan dan mengenal pengguna tiktokapabila tidak suka dengan postingan diamin aja di ambil yg baiknya sajayg sekiranya bermanfaat buat diri pribadi dan buat orang lain,5
244,ilido Monis,tiktok ini kalo kita ga pake selama 1bulan ko tidak bisa buka tiktok ini lagi sih tolong dih perbaiki,2
245,Herlin Carvalho2306,tolong di perbaiki ya masa setiap ingin instal selalu ada masalah kecewa,1
246,Paul Soares,aplikasinya sangat penting untuk anak lakilaki dan perempuan yang sedang berkembang pesat dalam bentuk yang sedang berkembang dan kami ucapkan banyak terimakasih atas informasinya sangat membantu dalam proses pembangunan yang tepat,5
247,Pedro Faria,app ini bagus cuman efeknya tidak bisa di pakai cuman muncul jomm wajah doang,1
248,Rudi Ferdianto,kepada pihak tiktok yang terhormat kenapa akun saya tidak bisa melakukan live streaming padahal sudah mencapai 1000 follower dan usia saya sudah di atas 18 tahun mohon dengan sangat bantuanya agar di munculkan fitur live streamingnya terima kasih,5
249,chupit ajha,saya kasi bintang 1 aja karna id tiktok saya selalu di blokir padahal video2 yg saya upload sopan semua dan sekarang saya download gak bisa lelet,1
250,Huzen Munawir,luar biasa mantap,5
251,Sundarie Wardana,tiktok itu khusus yg pke wifi bukan sch knpa saya yg pake data tidak bisa buka tiktoksaya d luar negri,1
252,Patricia Alves brito,aplikasi ny jelek banget dehh jangan di download yhhgak bagus percaya dehhh sama minum nyah tapi boong pak nya bagussssssssbanget minim kasih bintang5 untuk apk ini karna serubagus buat kita yang fakk modd instal ini mood nya akan kembali ceruahhh percaya dehhhhhsama minum yhasalamualikum teman,5
253,Akun Dio,sangat bagus tapi gk bisa ter istal,5
254,Pengguna Google,pliss tolong balikin musically lagi saya lebih suka apk musically dibanding kan tiktok sekarang apk tiktok suka error sendiri tolong yaa balikin lagi apk musically min,3
255,Pengguna Google,u k bat ia ga bk yl ao dwld tapi kok dulu aku bisa download dan udah daftar akun trus aku hapus lah sekaran ga bisa download please perbaiki,3
256,CCTV Madinah,hiburan yg paling asik,5
257,Dize Winder,aplikasinya membantu banget pokoknya the best deh buat tik tok ayosegera download aplikasi tiktok,5
258,esih sukesih,kenapa masuk tiktok d persulit sih selalu keluar tidak ada sinyal padahal ful xue,1
259,Minni Cute,bagus sih tapi penggunaanya kalau akun dulu gak bisa masuk lagi dan dicari juga gak ada,5
260,Pengguna Google,seneng banget tik tok mah best forever karena bisa ngehibur kalau bosan terus bisa bikin vidio tik tok jadi aku seneng banget makasih ya yang bikin aplikasi iniii aku suka banget tik tok,5
261,Amaun Metan1996,aku kasi bintang satu karna aplikasinya saat di buka kenapa lambat amat trus kadang2 bilangnnya jaringan tidak stabil padahal jaringannya bagus loh gimana sih,1
262,ranran chanel,gua beri bintang 3 aja soalnya mb tik tok terlalu besar tolong kecil kan kasihan yang hp nya masih samsungdll klo mb kecil gua kasi bintang full,3
263,Ronny Gomes,tolong ditambahkan translate di tiktokthanks,5
264,Rafah Hadyan,gak bisa buat komen foto,5
265,Pengguna Google,tiktok gak adil yang di up video orangnya itu aja udah cape buat video udah di ulang boro ada yang ngelike coba yang cuma nyengir doang langsung banyak likenya,3
266,Gevania Leite,saya suka banget sama aplikasi ini tapi efek aku deh ko efek tiktok saya gabisa dipake 2022 yang keluarang efek baru,5
267,Job Da costa,saya pake app tik tok baik dan aman saja untuk nonton semua video di app tik tok saya,1
268,bundha all,kenapa sekarang tiktok lag terus liat live lag terus kenapa ya jadi bikin esmosi,3
269,Srit Zebua,bagusss tapi baik2nya jangan pilih2 kasih buat fyp trus mohon siaran langsungnya terbuka untuk smua pengguna tiktok karna butuh buat jualan terima kasih,5
270,Selamet,susah sekali untuk masukan undangan baruselalu penipuan eror jaringanpadahal aplikasi ini bagus tapi undang teman tidak bisa,3
271,Farhatul Kholidah,assalamualaikum dear tiktok saya salut dengan tiktok sdh apk ny baguss di tambah lagi menemani ku di kala lock down terimakasih,5
272,Antonio Fernandes Da Cunha,aplikasinya jelek bangeeeeeeeeeeeeeeeeet tapi bohon aplikasinya bagus banget terimakasih tik tok sudah,5
273,Cindi Fatimah,plis bngt pihak tiktok kok akun lma ku g bsa msuk tulisan nyfrekuensi terlalu sering di kunjungi pdhl udh 5 download hpus msh g bsa data udh di hps ttap aj kok briq bet y,1
274,Aisyah Syarief,tidak relepantidak mendidik dan mengandung forno grafi,1
275,Taufik Purnama,aplikasi nya knpa di luar negri tidak bsa di pakai ya pdhal sinyal internet bagusada yg tau tidak ya,5
276,Jamila Fa,saya pemula blom bnyk tau tentang aplikasi ini tpi saya sangat suka karena dengan aplikasi ini saya bisa menghibur diri sendiri semoga aplikasinya semakin melejittt,5
277,Pengguna Google,tolong kembalikan musically versi sebelumnya karna kalau musically sama tiktok digabung memori bakalan penuh sekali lagi kami minta tolong untuk kembalikan musically versi lama,1
278,Saya Ajah,level kecil belum bisa bikin live jika aplikasi nya tidak di kembangin lg maka saya akan mengurangi satu persatu bintang nya,5
279,GOEL Vloger's,kenapa skarang tik tok sya harus menggunakan pvn untuk nonton live,1
280,Nur Nury,kenapa sllu ngleg padahal koneksi internet bagus,5
281,Pramita Avriliya,akun saya terus2 an ditangguhkan padahal itu akun baru gabisa login setiap login ada peringatan akun diblok selamanya pdhl saya tidak ngapa2 in saya post vid aja gapernah tolong kasih solusi,1
282,Pengguna Google,tapi tolong permudahkan menyimpan video karna jika saya ingin menyimpan video harus dibagikan dulu melalui instagram,3
283,Neng Quin Atmaja,tolong apk tiktok nya di pervaikin lgi dong saya kerja di luar negrijdi cuman bisa hiburan kya liat video d tiktok kalo tiktok nya masa gk bisa ke buka terus msa sya harus unistal terus sih tolong di perbaiki lgi dong apk nya adminterima kasih,5
284,Felicia Putri,tiktok tuh sensitif bgtt masaa iya komen dkit lgsg dihapus otomatis komennya kn utk mmbela kbnran sdgkan video nya yg nganiaya lah ngehina agama lah giliran yg kya gitu ngga dibanned anehh bgtt yg di banned mlh yg gasalah apaa anehh emg tiktok,1
285,Gerson OL-C,aplikasi ini sangat bagus tapi kekurangan dari aplikasi ini adalah even tidak muncul di halaman saya dan saya harap developer bisa mengerti dan memperbaik nya,5
286,Marcela Soares,apk nya bagus bangettapi tolong di buka blokir nya karena saya sangat membutuhkan akun ini yanh bernama itsyourbeby sekali lagi saya mohon maaf jika saya ada membuat kesalahan di tiktok,5
287,Pengguna Google,permisi mau tanya dong knapa ya tik tok aku kalau pakai wifi malah lemot wifi nya bagus amat kok,3
288,Joana da Costa Soares,aku sangat suka pakai aplikasi tiktok ini tapi ko aku buat video slow musiknya ngah complit tolong dong,5
289,Pengguna Google,knp musically sama kayak tiktokayo lah please musically tetap musicallydan tiktok tetaplah tiktokgk ush d sama samainkumohon kembalikan musically ke versi yg dulu,1
290,Ningfey,salam bagus buat hiburan dan pengalaman hidup pas deh pokoknya trmksh tiktok sukses dan tambah maju dan berkembang buat kontenbaru oke,5
291,Florencia dr Jesus,aplikasi ya bagus sekali dan banyak filter yang bagus dan menghibur banyak orang dan banyak drama yang bisa kita nonton sumpah siapa yang download ga bakal nyesel,5
292,Pengguna Google,aplikasi ini bagus banget aku suka sama aplikasi iniaku disini bisa lihat video tik tok nya bts dan blackpinkkarena aku ini adalah seorang army dan seorang blinksjadi aku kasi 5 bintang deh,5
293,Ros maya,aku sangat suka dengan aplikasi tik tok tapi suka eror ga bisa di buka sama sekali,5
294,Rozy Saputra,aplikasi tiktok ini bikin saya ingin kembali sekolah sd lg karna uang saku waktu aku sd sangat murah sekali dan aku senang sekali apalagi teringat waktu dulu pernah ngiseng nyng katok,5
295,Qodiri,sangat membantu pada saat suntuk,5
296,Abby Hany,sangat menghibur dan memuaskan,4
297,Fitriyah Apriliani,aplikasi tiktok sangat bagus cuma kadang ada sedikit masalah kallo ada yang komentar trus di balas suka ga muncul balesannya,5
298,Linanda Febriana,apa cuma tiktok ku yg gk bisa di upgrade sama belum ada krenjang kuningnya tolong solusinya dong software udah pembaruan kok,1
299,Ida Nurhayati,banyak membantu shop online nya walau sy di saudi bisa belanja keperluan yg sy inginkan dan untuk harga ny murah terimakasih tiktok,5
300,Muhammad Maulana Ishaq,saya suka tiktok saya bisa belajar banyak tentang kehidupanshalat dan bacaannya ceramah yang sangat bagus,5
301,Bhakti Andaru,aplikasinya bagus agak kurang dikit sih menurut saya baca aplikasinya bukan usernya awokawok,4
302,INO LUCIO,tik tok anj nickname nya ko ga ada larangannya buat orang2 anjin yang menghina agama ko ga di blokir tolong blokir orang2 yang nickname nya menghina agama tolon di blokir,1
303,Laode Abdulfarid,baik digunakan,5
304,Pengguna Google,kenapa saya memberi bintang 5 karena tiktok ini bisa menghilangkan stress disaat kita frustasi dengan kerjaan maupin masalah lain,5
305,Sadiyah Rezkyansa,mantul buat hiburan mantep thebest pokoknya,5
306,Pengguna Google,aplikasi gk bisa di download padahal internet kuatpenyimpanan banyak download apk lain bisa tapi untuk apk tiktok gk bisa,1
307,KOCAK Gaming,ini bagus banget sih buat berkarya dan banyak bet fitur nya dan yang paling gw suka itu di beranda ada video ooaim diketu ngakak bet sih keren dah,5
308,Pengguna Google,kenapa sekarang app tiktok tidak bisa menambahkan lagu dari file musik hp sendiri,2
309,Sudarmi Jiyamto,bagus banyak peminat mudah di akses dulu aku mimpi sekarang jadi kenyataan bisa menggunakan tik tok salam bos tik tok terimakasih semoga aku banyak yg kasih like dan following,5
310,Evelina Silva,sangat bagus dan sangat menghiburtapi aplikasi tik tok yang saya pakai ini gak bisa foto lagi tolong dong bisa bikin foto dong,5
311,AnqueciaClotata Carvalho,sedikit kecewa sama tiktok kenapa setiap nonton salalu muncul jaringan tidak tersedia padahal jaringan bagus aja kalo nontonnya lama mala minta kode tiktok hmmmm tolon perbaik,2
312,Wendi Tania,apa cuma gua yg ngerasa tiktok sekarang pas lagi nonton videonya gebugmancet gtu tolong tiktok kita yg lagi nonton merasa terganggu,1
313,Pengguna Google,bagus sih tapi donload nya kok lama dan diulang terus mohon pihak tik tok diperbaikiinstal ny juga lama jadi gk bisa tik tok kan deh,5
314,Khaerudin Bin marjuki,kenapa tiktok sembarang blokir pesan makin ga jelas aplikasi ini,1
315,Aulia Hadju,tidak bisa di buka,1
316,Nugianti Sagita,kamera tiktok nya jelek banget saya sebagai pengguna user android sangat kecewa dengan kamera yg diberikan oleh tiktok,1
317,YT• ALFA,apk sangat bagus dan bisa menjadikan kita semakin pandai dalam membuat fidio mengedit fidio dll,5
318,Pengguna Google,efek slowmotion sekarang kurang bagusmasa musik nya ilang begitugak bisa pas sama sekalikecewa gue,1
319,bagi2 no wa artis real,aku kecewa dengan apk tik tokduku gk ngelagkok sekarang suka ngelag jadi untuk masuk tik tok jadi susahtolong di perbaiki,4
320,Ridwan ARFN,sangat buruk saya mencoba menonton video lama tetapi tidak mendapatkan point hasil menonton sudah sering seperti ini,1
321,Pengguna Google,mantap njinxcewenya montok montok cocok buat bacolsaya sarankan tambahkan genrenya seperti japaneseindonesiablondearabteenbeatiful boobsdan masih banyak lagi termiakasih tik tok cewelnya good banget,5
322,Dullan Keken,apl in sangat menhiburkan kita semua dan begitu mengenali judul judul yg kita cari cari,5
323,Anisa Aulia Fujiyanti,apk nya bagus cuman lebih difilter lagi untuk yg masuk fyp nya sekarang jadi susah buat fyp,5
324,Mella Lim,tik tok sangat bagus buat hiburan tetapi banyak yang di salah gunakan karena masalah negara saling bakar bendera tolong kasih peringatan jangan bawa bawa negara atau bendera negara dalam membuat video tik tok,5
325,Ainy Channel,aplikasi hiburan terbaik saat gabut aplikasi terupdate kalo ada ada info berita dll pokoknya aku sukaaa,5
326,Amel Delifa,kendala di aplikasi tiktok adalah tidak semua lagu bisa dipakai ntah di pengaturan apa gmna,5
327,elva adi guntoro,sangat menyenangkan saya jumpa teman lama pun baru di sini juga menyediakan dunia baru yg sangat bagus saya sangat menyukai aplikasi ini,5
328,Pengguna Google,harus bisa lebih bagus lagi watermark bagi android samain sama iphone terus kalo penggunanya bikin harus ada yang like ada yg komen percuma kan buat,3
329,mic hael,sekarang tiktok kok susah memposting yaasetiap aku mau post selalu gagal padahal udh instal ulangtapi tetap aja gitu sekarang tiktok makin aneh aja,3
330,Nurhayati Jambak,aplikasi yg asyik seru buat hiburan mantul mantap betul,5
331,Melvin Dean,aplikasi yang bernama tiktok ini bisa membuat aku atau anda menjadi tertawa senang dan tertawa di saat aku sedih anda ayo download aplikasi yang bernama tiktok di play store atau pun di app store 5 stars,5
332,Mentor_LB9_B_06_Marlina,bnyk iklan ngelag ga suka font ny fyp nya ska muncul yg gjelas lebih suka pke tiktok lite,3
333,Afiata,tolong tiktok tambahkan fitur 18 18 ketika saat uploadagar tidak ada anak kecil yang melihat konten 18,1
334,Pengguna Google,saya tidak bisa mendownlod apk ini saya sudah menghapus semua foto dan apk yang lain tapi tetap saja tidak bisik saya kasih bintang 1 saja tolong diperbaiki,1
335,Pengguna Google,ini bagus banget bisa di simpan di galeri hasil nya terus bisa di pasang ke ss wa pokok nya bagus deh,5
336,Pengguna Google,aplikasi tik tok ini setiap di unduh kok gak bisa terpasang ya harus ngunduh berulang ulang kali,1
337,Nasywa ophelia,saya sudah mendownload aplikasi ini berulang kali tapi kali ini knp tidak bisa sudah tiga kali saya mencoba dan hasilnya sama mohon infonya,1
338,Azrah Nita,samgat terhibur dengan menggunakan aplikasi ini tapi sayangnya tik tok sebelumnya aku terhapus jd sekarang harus download lagi mudah2an aku bisa menggunakan account lama,5
339,Henny Susanti,aplikasi yang sangaaat bagus dan juga sangat menghibur apalagi kalau kita sedang lagi nggak muut coco banget liat aplikasi ini pasti di jamin ngakak,5
340,Cepy Irawan,saya kasih bintang 4 app ini sebenarnya bagus tapi saya cuma kasih bintang 4 bukan bintang lima karena ga bisa slowmo yg potong potong gitu deh,4
341,Pengguna Google,tolong ini slowmo nya tiktok di benerin karna saya udh bagus bagus ehh ke buang sendiri habis itu mau uploud aku udh tunnguin lama tapi malah mohon maaf coba di ulang lagi itu saja terima kasih,2
342,Pengguna Google,kok gak bisa unduh suara ya jadi gak ada lagunya kalau mau main tiktok,2
343,Mariam Mariyummy Channel,suka banget sama aplikasi ini sangat menghibur dan menyenangkan semoga semakin berkembang lagi untuk ke depannya,5
344,Usep Prazetyo,tiktok update makain ga nyaman sekarang sudah ga bisa skip percepat video tiktok meresahkan,1
345,martins jaques,hahahah aplikasi buruk saya udah downlod tapi saya tidak bisa nonton saya sudah dftar kan diri masih sajah enga bisa sagat disayangkan tolong di perbaikiklo udah perbaiki saya kasi 5bintang,1
346,Sony Bandung,aplikasi tiktok ini bgs tapi syg waktu live tmn tdk bisa lht org yg live hanya bisa komentar ja yg bisa di lht,5
347,FEBTI TITA INTERNATIONAL,asli nya sih baik baik aja tapi kenapa saya tidak bisa mengirim pesan sedangakn yg lain bisa untuk tiktok minta tolong di perbaiki,1
348,Evita Vidia,tik tok emang kren tapi knp aku gk bisa daftar ya kalo aku daftar ada tulisan sepertinya anda tidak memenuhi syarat dari tik tok,3
349,Fredi Ferdiansyah,menambah wawasan juga pengetahuan yg kita sendiri belum tahu dan juga mengenal berita di negara luar selain di negara sendiri,5
350,Pengguna Google,ini apk nya udh di download kok gk bisa yh malah disuruh download ulg lagi sia ajh nih pdhl tdi udh menginstal eh kok di layar utma hp gue gk adalngsng cek ke plystore yh ngulang deh knp gitu gan,1
351,Terima apa gak Najmahsalma,jelek ko da banyak tiktok bingung milih dah ini aplikasi asli palsu bingung nggak lagi deh donload s sekarang baru tau kan yang asli ribeeeeet,1
352,Ega Irna,mantap apkisi nyaterimakasih smoga ke depan nya makin ada fitur dan filter baru lagi the best,5
353,Ikaarti,aplikasi yang dulu nya dibilang alay sekarang menjadi aplikasi paling populer saat ini emang gak ada yang tahu masa depan,4
354,abun vong,sayan suka sekali sama tik tok ini karena bisa bikin video dan bisa di simpan dan bisa di bagi ke teman teman seruh deh,5
