,content,score
271,permisi mau tanya dong knapa tik tok aku kalau pakai wifi malah lot wifi nya bagus kok,3
272,aku sangat suka pakai aplikasi tiktok tapi ko aku buat video slow musik ngah complit dong,5
273,knp musically sama kayak tiktokayo lah please musically tetap musicallydan tiktok tetap tiktokgk ush d sama samainkumohon kembali musically versi dulu,1
274,salam bagus buat hibur alam hidup pas deh pokok trmksh tiktok sukses tambah maju kembang buat kontenbaru oke,5
275,aplikasi bagus sekali banyak filter bagus hibur banyak orang banyak drama bisa nonton sumpah siapa download bakal nyesel,5
276,aplikasi bagus banget aku suka sama aplikasi iniaku sini lihat video tik tok nya bts blackpinkkarena aku adalah orang army orang blinksjadi aku kasi 5 bintang deh,5
277,aku sangat suka aplikasi tik tok suka eror bisa buka sama sekali,5
278,aplikasi tiktok bikin ingin sekolah sd karna uang saku waktu aku sd sangat murah sekali aku senang sekali ingat waktu dulu pernah ngiseng nyng katok,5
279,sangat bantu saat suntuk,5
280,sangat hibur muas,4
281,aplikasi tiktok sangat bagus cuma kadang sedikit masalah kallo yang komenanti trus balas suka muncul balesannya,5
282,apa cuma tiktok ku gk di upgrade sama ada krenjang kuning solusi dong software udah baru kok,1
283,banyak bantu shop online nya sy saudi belanja perlu sy ingin untuk harga ny murah terimakasih tiktok,5
284,suka tiktok bisa ajar banyak kehidupanshalat baca ceramah sangat bagus,5
285,aplikasi bagus kurang dikit sih saya baca aplikasi bukan usernya awokawok,4
286,tik tok anj nickname nya ko ada larang buat orang2 anjin hina agama ko blokir blokir orang2 nickname nya hina agama tolon di blokir,1
287,saya beri bintang 5 tiktok bisa hilang stress saat frustasi kerja maupin masalah,5
288,mantul buat hibur mantep thebest pokok,5
289,aplikasi gk di download padahal internet kuatpenyimpanan banyak download apk untuk apk tiktok gk bisa,1
290,bagus banget sih buat karya banyak bet fitur nya yang paling gw suka di beranda video ooaim ketu ngakak bet sih keren dah,5
291,sekarang app tiktok bisa tambah lagu file musik hp sendiri,2
292,bagus banyak minat mudah akses dulu aku mimpi sekarang jadi nyata guna tik tok salam bos tik tok terimakasih moga aku banyak kasih like following,5
293,sangat bagus sangat menghiburtapi aplikasi tik tok saya pakai tidak foto tolong dong bikin foto dong,5
294,sedikit kecewa sama tiktok tiap nonton salalu muncul jaring sedia padahal jaring bagus aja kalo nontonnya lama mala minta kode tiktok hmmmm tolon baik,2
295,apa cuma gua ngerasa tiktok sekarang pas nonton video gebugmancet gtu tiktok yang nonton rasa ganggu,1
296,bagus sih donload nya kok lama ulang terus mohon pihak tik tok diperbaikiinstal ny lama jadi gk tik tok kan deh,5
297,tiktok sembarang blokir pesan makin jelas aplikasi,1
298,bisa buka,1
299,kamera tiktok nya jelek banget bagai guna user android sangat kecewa kamera beri tiktok,1
300,apk sangat bagus bisa jadi makin pandai buat fidio edit fidio,5
301,efek slowmotion sekarang kurang bagusmasa musik nya ilang begitugak pas sama sekalikecewa gue,1
302,aku kecewa apk tik tokduku gk ngelagkok sekarang suka ngelag jadi masuk tik tok jadi susahtolong baik,4
303,sangat buruk coba tonton video lama tidak dapat point hasil tonton sering ini,1
304,mantap njinxcewenya montok montok cocok buat bacolsaya saran tambah genre japaneseindonesiablondearabteenbeatiful boobsdan banyak termiakasih tik tok cewelnya good banget,5
305,apl in sangat menhiburkan semua begitu nali judul judul kita cari cari,5
306,apk nya bagus cuman lebih filter untuk masuk fyp nya sekarang jadi susah buat fyp,5
307,tik tok sangat bagus buat hibur banyak di salah guna masalah negara saling bakar bendera kasih ingat jangan bawa bawa negara bendera negara buat video tik tok,5
308,aplikasi hibur baik gabut aplikasi terupdate kalo ada info berita pokok aku sukaaa,5
309,kendala aplikasi tiktok tidak semua lagu pakai ntah atur apa gmna,5
310,sangat senang jumpa teman lama baru sini sedia dunia baru sangat bagus sangat suka aplikasi,5
311,bisa lebih bagus watermark android samain sama iphone terus kalo guna bikin like ada yang komen percuma kan buat,3
312,sekarang tiktok kok susah memposting yaasetiap aku mau post selalu gagal padahal udah instal ulangtapi tetap aja gitu sekarang tiktok makin aneh aja,3
313,aplikasi asyik seru buat hibur mantul mantap betul,5
314,aplikasi nama tiktok bisa buat aku jadi tertawa senang tertawa saat aku sedih anda ayo download aplikasi nama tiktok play store pun app store 5 stars,5
315,bnyk iklan ngelag suka font ny fyp nya ska muncul gjelas lebih suka pke tiktok lite,3
316,tiktok tambah fitur 18 18 saat uploadagar ada anak kecil lihat konten 18,1
317,tidak mendownlod apk hapus semua foto apk lain tetap tidak bisik saya kasih bintang 1 tolong baik,1
318,bagus banget simpan di galeri hasil nya terus di pasang ss wa pokok nya bagus deh,5
319,aplikasi tik tok tiap unduh kok bisa pasang harus ngunduh ulang ulang kali,1
320,mendownload aplikasi ulang kali kali knp bisa sudah tiga kali coba hasil sama mohon info,1
321,samgat hibur guna aplikasi tapi sayang tik tok belum aku hapus jd sekarang download mudah2an aku guna account lama,5
322,aplikasi santidak t bagus juga sangat hibur kalau sedang nggak muut coco banget liat aplikasi pasti jamin ngakak,5
323,kasih bintang 4 app benar bagus saya cuma kasih bintang 4 bukan bintang lima tidak slowmo potong potong gitu deh,4
324,ini slowmo nya tiktok benerin karna udah bagus bagus ehh buang sendiri habis mau uploud aku udah tunnguin lama malah mohon maaf coba ulang itu terima kasih,2
325,kok bisa unduh suara jadi ada lagu kalau mau main tiktok,2
326,suka banget sama aplikasi sangat hibur senang moga makin kembang untuk depan,5
327,tiktok update makain nyaman sekarang tidak skip cepat video tiktok resah,1
328,hahahah aplikasi buruk udah downlod nonton sudah dftar kan diri sajah enga bisa sagat sayang di perbaikiklo udah baik saya kasi 5bintang,1
329,aplikasi tiktok bgs syg waktu live tmn tdk lht org live bisa komenanti ja bisa lht,5
330,asli nya sih baik baik aja kenapa tidak kirim pesan sedangakn lain untuk tiktok minta di baik,1
331,tik tok emang kren knp aku gk daftar kalo aku daftar tulis seperti tidak penuh syarat tik tok,3
332,tambah wawas tahu kita sendiri tahu juga kenal berita negara luar di negara sendiri,5
333,apk nya udah download kok gk yh malah suruh download ulg sia ajh nih pdhl tdi udah menginstal eh kok layar utma hp gue gk adalngsng cek plystore yh ngulang deh knp gitu gan,1
334,jelek ko da banyak tiktok bingung milih dah aplikasi asli palsu bingung lagi deh donload s sekarang baru tau kan asli ribeeeeet,1
335,mantap apkisi nyaterimakasih smoga depan nya makin fitur filter baru the best,5
336,aplikasi dulu nya bilang alay sekarang jadi aplikasi paling populer ini emang ada tahu masa depan,4
337,sayan suka sekali sama tik tok karena bikin video bisa simpan bisa bagi teman teman seruh deh,5
338,terima kasih tiktok apk bagus liat kayes joged cewek lai live streaming nya mantap mantap kurang pakek bh aja tiktok terima kasih,5
339,aplikasi sangat manfaat moga makin sukses berkah selalu terimakasih tiktok,5
340,akun kunci udah kirim data data aku pernah urus paling bls email suruh kirim data mulu padahal udah kecewaa bgt,1
341,wowapk sangat baguskepada pihak garena di tingkat lagiselebihnya bagus sih moontonmemang mantap lah tencent,1
342,nggak live 9 komal kok lain kenapa nggak ayo update 9 komal please,3
343,dong jangan macet lagiga bikin vt bisa edit profil kenapa sih,3
344,aplikasi mutu main blok aja unistall males bikin account baru gue bikin cuma buat awas anak fix satu keluarga unistall butuh tiktok bilang kalian dpt coin jng percaya diboongin coin gue ilang sendiri,1
345,video di refresh video bisa lain terus ajah ada,1
346,gk bagus banget app masah sih akun blokir kan gk ngapa ngapain kesel banget udah daftar kali kali gk hasil nia mohon di baik app karna juga main tik tok orang juga,1
347,hai kenal nama hasna aulia aku suka bangt tik tok kalian langsung donwlod aplikasi tik tok akan nyesel deh kalian guna aplikasi tik tok senang senag terimakasih aplikasi tik tok,5
348,aplikasi bagus banget buat orang banyak bisa tunjuk bakat masingmasing tik tok,5
349,aplikasi sangat hibur tetap maju kan program baru tik tok,5
350,aplikasi tiktok hapus trus coba mendownload enggak gimna cara yah,5
351,hormat pihak musically kecewa ada baru inimungkin bukan aja kecewa ada baru inikami mohon maaf sekaliapakah musically dikembalikanmaaf bila salah kata,2
352,bagus ngedonload nya lama kalo nanti cuma sebenanti aku kasih 5sama udah 24 mnt kok 11padahal jaring bagus,1
353,bagus sihtapi hampir semua lagu indiadj nya cuma sedikit baik,4
354,lebih pilih musically duluplis deh gosah campur2tik tok campur musically mau jadi apaplis kembali musical dulu bukan yang skrg,1
355,bagus sih aplikasinyatp terkadang kena blok padahal ada melanggartp liat cd nya sam tetek aman,5
356,sumpah nyesel bngt upgratny kirain pas udah dupgrt tambah bangus ehhh malah jls mana pke lgu sndiri lagitruss knp fariasiny sbnyak ip dri awalny mc ehh mlh jdi tik tok trpksa aj pke apk in krna hobi kalo bisa tolongkeren baik dulu,2
357,aplikasi cukup baguscman krna z bkn nilai aplikasi lain sebagainyajadi aplikasi q kasih bintang lima ajh gitu,5
358,sangat bagus zangan rupa danlout nia wa buat apa papa sangat bagus jangan rupa wa kasi binta lima sungu ini sagat bagus masuk daftar dulu wa,5
359,gak update aplikasigak unggah videokomplit pokok mah,5
360,tidak merkam lagu ada tik tok tidak levsing lagu lagu cant levsing songs,1
361,tiktok makin bagus kalau banyakbanyak gratis ongkir,5
362,makasih tik tok moga semua hibur salur bakat juga saling untung,5
363,download nya 73mb pas udah pasang liat video tbtb 1gb lebih need banget buat hp kapasitas kecil,1
364,kasih fitur cadang tema fyp dong jdi kalo uninstall terus instal jadi sama fypnya kayak di install jdi perlu sesuai lgi,4
365,sii suka sma apl cuma yaa krna gabung transisi spt tdk harga kalo sii saran logo tiktok dab musically tengah tengah sja jangan smua logo tiktok mksihh,4
366,baru baru sih jelek dikit yasoalnya jaring baguskok jalan lambat banget,1
367,apk nya suka keluar sendiri pas upload suka gagal mohon baik,1
368,terimakasih tiktokkarena hibur aplikasi buat sakit mulai baik saya sudah mem,5
369,aplikasi sangat bagus ngobrol sama temanteman curhatcurhat ketawa,5
370,sya sangat hibur kerika tonton tiktok situ video sangat tarik,5
371,update filter lebih bagus lagisesuaidengan musik tiktok,5
372,kasih fitur live stremingnya beri pilih grafik fhd hd sd jadi burik burik hp panjang2 jaman sekarang ini live rata2 jual jd nontonnya lihat barang jd bagus,3
373,tiktok keren banget ajar ketawa poko banyak da 1112 lah sama youtube,5
374,gila parah banget tiktok sekarang upload video dr mlm sampe pagi ada like views n coment sama sekali parah banget ngerti sama algoritma tiktok,1
375,mau akun yang udah lama kembali soal nya udah coba berapa kali kata sandi salah terus nomor telepon sama email tidak aktif moga kembali akun,5
376,hallo sangat kecewa sama tiktok saya punya akun facebook tadi aku mau login muncul muncul baik,1
377,aplikasi sangat penting hibur tarik waktu sedih,5
378,aplikasi sangat bagus hibur sayang hp sya kentang jdi memori cepat penuh,5
379,banyak ilmu dapat untuk alam tiap waktu simpan aman,5
380,filter yang bisa pakai walaupun di update ulang kali,4
